Nom_UTF Nom_ASCII Noms_Alternatius Latitud Longitud CodiToponim Poblacio
Terra_del_Pou Terra_del_Pou NULL 42.46667 1.48333 LCTY 0
Terra_Bogada Terra_Bogada NULL 42.46667 1.5 LCTY 0
Canal_del_Teixó Canal_del_Teixo NULL 42.55 1.5 STM 0
Coma_de_Teix Coma_de_Teix NULL 42.46667 1.46667 SLP 0
Font_de_les_Taules Font_de_les_Taules NULL 42.55 1.55 SPNG 0
Coma_Tarterosa Coma_Tarterosa NULL 42.48333 1.45 RVN 0
Bosc_de_la_Tarterosa Bosc_de_la_Tarterosa NULL 42.6 1.65 FRST 0
Tarter_Gran Tarter_Gran NULL 42.58333 1.45 LCTY 0
Tartera_Gran Tartera_Gran NULL 42.48333 1.46667 LCTY 0
Pont_del_Tarter Pont_del_Tarter NULL 42.58333 1.65 BDG 0
Coll_de_la_Tàpia Coll_de_la_Tapia NULL 42.46667 1.48333 PASS 0
Canal_Tancada Canal_Tancada NULL 42.48333 1.55 STM 0
Roc_del_Tampuent Roc_del_Tampuent NULL 42.58333 1.48333 RK 0
Basers_de_les_Tallades Basers_de_les_Tallades NULL 42.5 1.46667 CLF 0
Bosc_de_la_Tallada_Nova Bosc_de_la_Tallada_Nova NULL 42.58333 1.48333 FRST 0
Camí_de_la_Tallada Cami_de_la_Tallada NULL 42.48333 1.56667 TRL 0
Canal_del_Tabanell Canal_del_Tabanell NULL 42.56667 1.51667 STM 0
Bosc_del_Tabanell Bosc_del_Tabanell NULL 42.58333 1.5 FRST 0
Suriguera Suriguera NULL 42.58333 1.61667 SLP 0
Sudornar Sudornar NULL 42.58333 1.45 SLP 0
Font_del_Sucre Font_del_Sucre NULL 42.51667 1.46667 SPNG 0
Costa_de_la_Sucarana Costa_de_la_Sucarana NULL 42.6 1.5 SLP 0
Canya_de_la_Sucarana Canya_de_la_Sucarana NULL 42.6 1.5 GRGE 0
Borda_del_Sucarana Borda_del_Sucarana NULL 42.55 1.58333 HUTS 0
Riu_de_Sorteny Riu_de_Sorteny NULL 42.62341 1.54869 STM 0
Pla_de_Sorteny Pla_de_Sorteny NULL 42.61952 1.58872 UPLD 0
Marrades_de_Sorteny Marrades_de_Sorteny NULL 42.61667 1.55 TRL 0
Sorteny Sorteny NULL 42.61667 1.58333 ADMD 0
Riu_de_les_Soronelles Riu_de_les_Soronelles NULL 42.53333 1.65 STM 0
Collada_de_les_Soronelles Collada_de_les_Soronelles NULL 42.53333 1.65 PASS 0
Pic_de_les_Sorobilles Pic_de_les_Sorobilles NULL 42.56667 1.53333 PK 0
Riu_de_Sornàs Riu_de_Sornas NULL 42.56667 1.53333 STM 0
Clot_de_Sornàs Clot_de_Sornas NULL 42.56667 1.55 RVN 0
Sornàs Sornas NULL 42.5654 1.5287 PPL 0
Riu_de_Soriguera Riu_de_Soriguera Riu_de_Soriguera,Riu_de_Suriguera 42.58333 1.61667 STM 0
Solana_del_Soriguer Solana_del_Soriguer NULL 42.56667 1.55 SLP 0
Clot_Sord Clot_Sord NULL 42.6 1.65 CRQ 0
Solà_de_Soquer Sola_de_Soquer NULL 42.45 1.48333 SLP 0
Riu_de_Soplanàs Riu_de_Soplanas Riu_de_Soplanars,Riu_de_Soplanas,Riu_de_Soplanàs 42.58333 1.63333 STM 0
Borda_de_Som Borda_de_Som NULL 42.56667 1.58333 HUTS 0
Roc_de_Solobre Roc_de_Solobre NULL 42.48333 1.51667 RKS 0
Bosc_de_Solobre Bosc_de_Solobre NULL 42.48333 1.5 FRST 0
