Id_Zona Latitud Longitud Codi_Pais Nom_Pais
3 36.54361000 8.19388800 AG Algeria
3 36.52944200 8.18555500 AG Algeria
3 36.52416200 8.18361100 AG Algeria
3 36.51194000 8.18194400 AG Algeria
3 36.50527200 8.18166500 AG Algeria
3 36.49916100 8.18333200 AG Algeria
3 36.49499500 8.18666600 AG Algeria
3 36.48888400 8.19583300 AG Algeria
3 36.48388700 8.21527700 AG Algeria
3 36.48194100 8.23777800 AG Algeria
3 36.48111000 8.25388700 AG Algeria
3 36.48138400 8.27749800 AG Algeria
3 36.48277300 8.28500000 AG Algeria
3 36.48277300 8.29333300 AG Algeria
3 36.47999600 8.30694400 AG Algeria
3 36.45916000 8.36555500 AG Algeria
3 36.45555100 8.36972000 AG Algeria
3 36.45082900 8.37222100 AG Algeria
3 36.44471700 8.37361000 AG Algeria
3 36.42666600 8.37611000 AG Algeria
3 36.41360500 8.37666500 AG Algeria
3 36.37499200 8.37444300 AG Algeria
3 36.35749800 8.37166600 AG Algeria
3 36.29610400 8.33638800 AG Algeria
3 36.28665900 8.33138800 AG Algeria
3 36.21443900 8.31944300 AG Algeria
3 36.19554900 8.31916600 AG Algeria
3 36.09749600 8.30527700 AG Algeria
3 36.00000000 8.29083300 AG Algeria
3 35.96531300 8.28297300 AG Algeria
3 35.96193700 8.28027700 AG Algeria
3 35.93027500 8.26888800 AG Algeria
3 35.91333000 8.26444400 AG Algeria
3 35.85638400 8.26055500 AG Algeria
3 35.82249500 8.26166500 AG Algeria
3 35.81110400 8.26333200 AG Algeria
3 35.77583300 8.26861000 AG Algeria
3 35.75860600 8.27361100 AG Algeria
3 35.74916100 8.27749800 AG Algeria
3 35.74388900 8.28083200 AG Algeria
3 35.72860700 8.29499800 AG Algeria
3 35.72193900 8.30222100 AG Algeria
3 35.70472000 8.32388900 AG Algeria
3 35.69249700 8.33361100 AG Algeria
3 35.68777500 8.33611100 AG Algeria
3 35.67749800 8.34027700 AG Algeria
3 35.67194400 8.34166500 AG Algeria
3 35.65361000 8.34416600 AG Algeria
3 35.63472000 8.34555400 AG Algeria
3 35.62360400 8.34527600 AG Algeria
3 35.58444200 8.34888800 AG Algeria
3 35.45777100 8.32222200 AG Algeria
3 35.44416000 8.31472200 AG Algeria
3 35.42721600 8.30944400 AG Algeria
3 35.40499900 8.30416500 AG Algeria
3 35.39277600 8.30138800 AG Algeria
3 35.37999700 8.30138800 AG Algeria
3 35.36777500 8.30277600 AG Algeria
3 35.33916500 8.30833200 AG Algeria
3 35.31721500 8.31638700 AG Algeria
3 35.30832700 8.32222200 AG Algeria
3 35.29332700 8.33611100 AG Algeria
3 35.28721600 8.34499900 AG Algeria
3 35.19221500 8.40111000 AG Algeria
3 35.12138400 8.33888800 AG Algeria
3 35.10944400 8.32860900 AG Algeria
3 35.10472100 8.32611100 AG Algeria
3 35.09915900 8.32444400 AG Algeria
3 34.96555300 8.28611000 AG Algeria
3 34.85166200 8.27333300 AG Algeria
3 34.83444200 8.27722200 AG Algeria
3 34.75833100 8.29027700 AG Algeria
3 34.75277700 8.28861000 AG Algeria
3 34.74888600 8.28611000 AG Algeria
3 34.74277500 8.27694300 AG Algeria
3 34.74010500 8.27015500 AG Algeria
3 34.73805200 8.26527600 AG Algeria
3 34.72055100 8.24527700 AG Algeria
3 34.71666000 8.24194300 AG Algeria
3 34.70027200 8.22916600 AG Algeria
3 34.69027700 8.22499800 AG Algeria
3 34.68388400 8.22499800 AG Algeria
3 34.67582700 8.23222200 AG Algeria
3 34.66610700 8.24444400 AG Algeria
3 34.66277300 8.25027700 AG Algeria
3 34.65916400 8.25361100 AG Algeria
3 34.65444200 8.25527800 AG Algeria
3 34.64444000 8.25166500 AG Algeria
3 34.53916200 8.12333300 AG Algeria
3 34.53665900 8.11833200 AG Algeria
3 34.53272200 8.10655200 AG Algeria
3 34.52194200 8.07027600 AG Algeria
3 34.50916300 8.03611000 AG Algeria
3 34.43610400 7.86888900 AG Algeria
3 34.42333200 7.85055500 AG Algeria
3 34.41249800 7.83972200 AG Algeria
3 34.38944200 7.82555500 AG Algeria
3 34.37832600 7.82305500 AG Algeria
3 34.36610400 7.82277800 AG Algeria
3 34.34638200 7.82444400 AG Algeria
3 34.33082600 7.81944400 AG Algeria
3 34.25471500 7.78666600 AG Algeria
3 34.25054900 7.78416600 AG Algeria
3 34.24249300 7.77749900 AG Algeria
3 34.23638200 7.76750000 AG Algeria
3 34.23055300 7.75111100 AG Algeria
3 34.22638700 7.73111100 AG Algeria
3 34.22388500 7.70166600 AG Algeria
3 34.21999400 7.68166600 AG Algeria
3 34.21249400 7.65694400 AG Algeria
3 34.20499400 7.64138800 AG Algeria
3 34.19971500 7.63222200 AG Algeria
3 34.18943800 7.61972100 AG Algeria
3 34.10666700 7.53055500 AG Algeria
3 34.10194400 7.52722200 AG Algeria
3 34.08305400 7.51805500 AG Algeria
3 34.07191500 7.51526000 AG Algeria
3 34.01416000 7.51861100 AG Algeria
3 33.99443800 7.51777700 AG Algeria
3 33.96777300 7.50861100 AG Algeria
3 33.95221700 7.50277700 AG Algeria
3 33.94277200 7.49777700 AG Algeria
3 33.92638400 7.49277700 AG Algeria
3 33.91333000 7.49166600 AG Algeria
3 33.88749700 7.49249900 AG Algeria
3 33.81055500 7.51499900 AG Algeria
3 33.67860400 7.55611000 AG Algeria
3 33.67388200 7.55861100 AG Algeria
3 33.50777400 7.67555500 AG Algeria
3 33.41940300 7.72502700 AG Algeria
3 33.39916200 7.72472200 AG Algeria
3 33.37305500 7.72444400 AG Algeria
3 33.31860400 7.72416600 AG Algeria
3 33.28665900 7.72638800 AG Algeria
3 33.24832900 7.73194400 AG Algeria
3 33.22916400 7.74305500 AG Algeria
3 33.21888700 7.75277700 AG Algeria
3 33.21472200 7.75694400 AG Algeria
3 33.20861100 7.76499900 AG Algeria
3 33.20443700 7.77555500 AG Algeria
3 33.11499800 8.01610900 AG Algeria
3 33.11277800 8.02277800 AG Algeria
3 33.10805500 8.04138800 AG Algeria
3 33.10721600 8.04944400 AG Algeria
3 33.10916100 8.07222200 AG Algeria
3 33.11055000 8.07888800 AG Algeria
3 33.11444100 8.09027700 AG Algeria
3 33.02805300 8.15777600 AG Algeria
3 32.87666300 8.27416600 AG Algeria
3 32.83416000 8.30611000 AG Algeria
3 32.79305300 8.31222200 AG Algeria
3 32.73832700 8.31944300 AG Algeria
3 32.71027400 8.32333200 AG Algeria
3 32.57360800 8.34277700 AG Algeria
3 32.53333300 8.34861000 AG Algeria
3 32.53121900 8.35098300 AG Algeria
3 32.49166100 8.41527700 AG Algeria
3 32.40416000 8.55999900 AG Algeria
3 32.32611100 8.68833200 AG Algeria
3 32.21804800 8.86444300 AG Algeria
3 32.12944000 9.00833300 AG Algeria
3 32.09999800 9.05527700 AG Algeria
3 32.09111000 9.05916600 AG Algeria
3 32.00008000 9.08256000 AG Algeria
3 31.91277700 9.10583300 AG Algeria
3 31.62416500 9.18138900 AG Algeria
3 31.50055300 9.21333300 AG Algeria
3 31.17055500 9.29861100 AG Algeria
3 31.03277600 9.33416600 AG Algeria
3 30.84027500 9.38361000 AG Algeria
3 30.63388800 9.43638800 AG Algeria
3 30.50999800 9.46805400 AG Algeria
3 30.30333300 9.52055500 AG Algeria
3 30.24833300 9.53416600 AG Algeria
3 30.23439000 9.53711300 AG Algeria
3 30.22277500 9.51138900 AG Algeria
3 30.16249800 9.38277600 AG Algeria
3 30.13194300 9.31888800 AG Algeria
3 30.12249800 9.30388800 AG Algeria
3 30.10527400 9.31499900 AG Algeria
3 30.09666400 9.32277700 AG Algeria
3 30.07666400 9.34555400 AG Algeria
3 30.06333200 9.36249900 AG Algeria
3 30.04250000 9.38583200 AG Algeria
3 30.02166400 9.40222200 AG Algeria
3 30.00388900 9.41360900 AG Algeria
3 29.96583200 9.44916500 AG Algeria
3 29.82777400 9.55138800 AG Algeria
3 29.80694200 9.56666600 AG Algeria
3 29.78916500 9.57888800 AG Algeria
3 29.69110900 9.63805400 AG Algeria
3 29.64916600 9.66111000 AG Algeria
3 29.61166400 9.68083200 AG Algeria
3 29.52138500 9.72499800 AG Algeria
3 29.45416600 9.75722100 AG Algeria
3 29.43333100 9.76472100 AG Algeria
3 29.42777600 9.76638800 AG Algeria
3 29.19833000 9.82972100 AG Algeria
3 29.16000000 9.83972200 AG Algeria
3 29.11861000 9.84722100 AG Algeria
3 29.08972200 9.85222100 AG Algeria
3 29.06610900 9.85611000 AG Algeria
3 28.99305300 9.86527600 AG Algeria
3 28.94999700 9.86944400 AG Algeria
3 28.85916500 9.87333300 AG Algeria
3 28.83999600 9.87305500 AG Algeria
3 28.80611000 9.87166600 AG Algeria
3 28.76805500 9.86749800 AG Algeria
3 28.70888500 9.85944400 AG Algeria
3 28.63043600 9.84683400 AG Algeria
3 28.57194100 9.83805500 AG Algeria
3 28.40777600 9.81222200 AG Algeria
3 28.32555400 9.79833200 AG Algeria
3 28.27055400 9.79027700 AG Algeria
3 28.25666400 9.78972100 AG Algeria
3 28.24249600 9.79472200 AG Algeria
3 28.15972100 9.83055500 AG Algeria
3 28.13194300 9.84249900 AG Algeria
3 27.99333200 9.90138800 AG Algeria
3 27.86861000 9.95416600 AG Algeria
3 27.85305400 9.95749900 AG Algeria
3 27.83944300 9.95416600 AG Algeria
3 27.82444400 9.94833200 AG Algeria
3 27.64860900 9.89027600 AG Algeria
3 27.62110900 9.88110900 AG Algeria
3 27.60749800 9.87583200 AG Algeria
3 27.60305400 9.86861000 AG Algeria
3 27.53777700 9.81916600 AG Algeria
3 27.43916300 9.77638800 AG Algeria
3 27.32388700 9.73499900 AG Algeria
3 27.31694400 9.73388900 AG Algeria
3 27.31166500 9.73444400 AG Algeria
3 27.25972000 9.74194300 AG Algeria
3 27.25000000 9.74527700 AG Algeria
3 27.09777500 9.80277600 AG Algeria
3 27.05638900 9.81805400 AG Algeria
3 27.00527600 9.82916600 AG Algeria
3 26.90860700 9.84833100 AG Algeria
3 26.87860900 9.90027600 AG Algeria
3 26.87083100 9.91638800 AG Algeria
3 26.85972200 9.93055500 AG Algeria
3 26.80472200 9.91972200 AG Algeria
3 26.77749600 9.91277700 AG Algeria
3 26.69555300 9.89583200 AG Algeria
3 26.67333200 9.91694300 AG Algeria
3 26.60999700 9.89916600 AG Algeria
3 26.51416400 9.87166600 AG Algeria
3 26.46860900 9.76277700 AG Algeria
3 26.42972200 9.66888800 AG Algeria
3 26.35749800 9.49944300 AG Algeria
3 26.27027500 9.44222100 AG Algeria
3 26.20499800 9.40027600 AG Algeria
3 26.19472100 9.39611100 AG Algeria
3 26.18277700 9.39305500 AG Algeria
3 26.17055500 9.39388800 AG Algeria
3 26.15333200 9.39833300 AG Algeria
3 26.10472100 9.43527600 AG Algeria
3 26.04888500 9.47944300 AG Algeria
3 25.64472200 9.79166600 AG Algeria
3 25.56083300 9.85611000 AG Algeria
3 25.36555500 10.00555400 AG Algeria
3 25.33749800 10.02666700 AG Algeria
3 25.32138800 10.03749800 AG Algeria
3 25.27944200 10.03916500 AG Algeria
3 25.08749800 10.04527700 AG Algeria
3 25.00527600 10.04777700 AG Algeria
3 24.93638600 10.04972100 AG Algeria
3 24.86777500 10.05083300 AG Algeria
3 24.83805500 10.05444300 AG Algeria
